"Timestamp","Gender","Age Group","Top 6 most preferred places"
"2022/08/13 3:02:00 pm GMT+8","Female","14 and below","1-Altitude Sightseeing Experience;Asian Civilisations Museum;Dolphin Island Interaction Program;Jurong Bird Park;Lunch with Parrots;Singapore Zoo"
"2022/08/13 3:02:50 pm GMT+8","Female","14 and below","Adventure Cove Waterpark;Dolphin Island Interaction Program;Indoor Surfing Wave House Sentosa;SEA Aquarium;Sentosa Island;Universal Studios Singapore"
"2022/08/13 3:03:47 pm GMT+8","Female","14 and below","AJ Hackett Sentosa Bungy Jump;IFly Singapore;Indoor Surfing Wave House Sentosa;Megazip;Singapore Airzone;Skyline Luge"
"2022/08/13 3:05:48 pm GMT+8","Female","14 and below","Asian Civilisations Museum;Dolphin Island Interaction Program;Madame Tussauds Wax Museum;Singapore Botanic Gardens;The Helix Bridge;Trick Eye Museum"
"2022/08/13 3:08:32 pm GMT+8","Female","14 and below","Buddha Tooth Relic Temple and Museum;Bugis Street;China Town;Clarke Quay;Sentosa Island;Universal Studios Singapore"
"2022/08/13 3:09:02 pm GMT+8","Female","14 and below","Bukit Timah Nature Reserve;Gardens By The Bay;Kusu Island;Mount Faber Park;National Orchid Garden;Singapore Botanic Gardens"
"2022/08/13 3:09:50 pm GMT+8","Female","14 and below","Butterfly Park And Insect Kingdom;Gardens By The Bay;Jurong Bird Park;Lunch with Parrots;National Orchid Garden;Tree-top Walk at MacRitchie Reservoir"
"2022/08/13 3:11:06 pm GMT+8","Female","14 and below","Adventure Cove Waterpark;Dolphin Island Interaction Program;Lunch with Parrots;Night Safari Nocturnal Wildlife Park;River Wonders Singapore;SEA Aquarium"
"2022/08/13 3:11:55 pm GMT+8","Female","14 and below","AJ Hackett Sentosa Bungy Jump;Driving on the F1 Track;IFly Singapore;Indoor Surfing Wave House Sentosa;Marina Bay Sands Casino;Tiger Brewery"
"2022/08/13 3:12:35 pm GMT+8","Female","14 and below","Gardens By The Bay;Infinity Pool at Marina Bay Sands;Marina Bay;Merlion Park;Sentosa Merlion Tower;Wings of Time"
"2022/08/13 3:13:13 pm GMT+8","Female","14 and below","AJ Hackett Sentosa Bungy Jump;IFly Singapore;Indoor Surfing Wave House Sentosa;Kidzania Singapore;Singapore Airzone;Skyline Luge"
"2022/08/13 3:16:55 pm GMT+8","Female","14 and below","Clarke Quay;Infinity Pool at Marina Bay Sands;Singapore Cable Car;Singapore Flyer;The Helix Bridge;Tree-top Walk at MacRitchie Reservoir"
"2022/08/13 3:17:30 pm GMT+8","Female","14 and below","Dolphin Island Interaction Program;Kidzania Singapore;Lunch with Parrots;Night Safari Nocturnal Wildlife Park;Singapore Zoo Jungle Breakfast;Singapore Zoo"
"2022/08/13 3:18:25 pm GMT+8","Female","14 and below","Kusu Island;Lazarus Island;Palawan Beach;Pulau Ubin;Siloso Beach;Tanjong Beach"
"2022/08/13 3:20:16 pm GMT+8","Female","14 and below","Bugis Street;Gardens By The Bay;Little India;Night Safari Nocturnal Wildlife Park;Singapore Zoo;Sri Mariamman Temple"
"2022/08/13 3:24:11 pm GMT+8","Female","14 and below","Jurong Bird Park;Lunch with Parrots;Night Safari Nocturnal Wildlife Park;River Wonders Singapore;Singapore Zoo Jungle Breakfast;Singapore Zoo"
"2022/08/13 3:25:37 pm GMT+8","Female","14 and below","1-Altitude Sightseeing Experience;Asian Civilisations Museum;Madame Tussauds Wax Museum;SEA Aquarium;Trick Eye Museum;Universal Studios Singapore"
"2022/08/13 3:26:39 pm GMT+8","Female","14 and below","Clarke Quay;Gardens By The Bay;Marina Bay;Merlion Park;Sentosa Merlion Tower;Universal Studios Singapore"
"2022/08/13 3:27:58 pm GMT+8","Female","14 and below","Bukit Timah Nature Reserve;Megazip;Mount Faber Park;National Orchid Garden;Singapore Botanic Gardens;Tree-top Walk at MacRitchie Reservoir"
"2022/08/13 3:29:28 pm GMT+8","Female","14 and below","Gardens By The Bay;Marina Bay;Merlion Park;Sentosa Island;Sentosa Merlion Tower;Wings of Time"
"2022/08/13 3:42:21 pm GMT+8","Female","14 and below","Palawan Beach;Pulau Ubin;Siloso Beach;Singapore River Cruise;Tanjong Beach;The Original Duck Tours Sentosa"
"2022/08/13 3:43:50 pm GMT+8","Female","14 and below","Jurong Bird Park;Night Safari Nocturnal Wildlife Park;River Wonders Singapore;SEA Aquarium;Singapore Zoo Jungle Breakfast;Singapore Zoo"
"2022/08/13 3:44:41 pm GMT+8","Female","14 and below","River Wonders Singapore;Royal Albatross Sunset Sail;Singapore Cable Car;Singapore Flyer;Singapore River Cruise;The Original Duck Tours Sentosa"
"2022/08/13 3:45:56 pm GMT+8","Female","14 and below","AJ Hackett Sentosa Bungy Jump;IFly Singapore;Indoor Surfing Wave House Sentosa;Megazip;Skyline Luge;Universal Studios Singapore"
"2022/08/13 3:47:02 pm GMT+8","Female","15 - 24","1-Altitude Sightseeing Experience;Asian Civilisations Museum;IFly Singapore;Infinity Pool at Marina Bay Sands;Tiger Brewery;Trick Eye Museum"
"2022/08/13 3:49:04 pm GMT+8","Female","14 and below","Adventure Cove Waterpark;Dolphin Island Interaction Program;IFly Singapore;Indoor Surfing Wave House Sentosa;Megazip;Skyline Luge"
"2022/08/13 3:49:36 pm GMT+8","Female","15 - 24","AJ Hackett Sentosa Bungy Jump;IFly Singapore;Indoor Surfing Wave House Sentosa;Megazip;Skyline Luge;Universal Studios Singapore"
"2022/08/13 3:50:15 pm GMT+8","Female","15 - 24","1-Altitude Sightseeing Experience;Asian Civilisations Museum;Madame Tussauds Wax Museum;Sentosa Island;Tiger Brewery;Trick Eye Museum"
"2022/08/13 3:51:03 pm GMT+8","Female","15 - 24","Buddha Tooth Relic Temple and Museum;Bugis Street;China Town;Clarke Quay;Marina Bay Sands Casino;Singapore River Cruise"
"2022/08/13 4:07:06 pm GMT+8","Female","15 - 24","Buddha Tooth Relic Temple and Museum;Bugis Street;China Town;Clarke Quay;Marina Bay;Singapore River Cruise"
"2022/08/13 4:07:42 pm GMT+8","Female","15 - 24","Bukit Timah Nature Reserve;Gardens By The Bay;Mount Faber Park;National Orchid Garden;Singapore Botanic Gardens;Tree-top Walk at MacRitchie Reservoir"
"2022/08/13 4:08:45 pm GMT+8","Female","15 - 24","Butterfly Park And Insect Kingdom;Jurong Bird Park;Mount Faber Park;National Orchid Garden;River Wonders Singapore;Singapore Botanic Gardens"
"2022/08/13 4:09:47 pm GMT+8","Female","15 - 24","Clarke Quay;Gardens By The Bay;Infinity Pool at Marina Bay Sands;Marina Bay Sands Casino;Marina Bay;The Helix Bridge"
"2022/08/13 5:23:08 pm GMT+8","Female","14 and below","Marina Bay;Merlion Park;Sentosa Merlion Tower;Singapore Flyer;The Helix Bridge;Universal Studios Singapore"